product url,product title,price,reviews,rating
https://www.daraz.pk/products/black-braider-hair-band-hair-accessories-hair-hoop-fashion-double-layer-band-twist-plait-clip-front-hair-clips-headband-i207486779-s1412338619.html?search=1,Black Braider Hair Band Hair Accessories Hair Hoop Fashion Double Layer Band Twist Plait Clip Front Hair Clips Headband,Rs. 95,(38), 5.0
https://www.daraz.pk/products/women-metal-wide-belt-waist-chain-for-dress-coat-i127242414-s1286016812.html?search=1,Women Metal Wide  Belt Waist Chain for Dress Coat,Rs. 785,(84), 4.8
https://www.daraz.pk/products/2-pcs-turban-knotted-headband-for-girls-turban-headband-turban-hair-band-for-women-elastic-headband-i208766933-s1414522879.html?search=1,2 pcs Turban Knotted Headband for Girls | Turban Headband - Turban Hair Band for Women Elastic Headband,Rs. 199,(4), 4.5
https://www.daraz.pk/products/braids-tools-with-zig-zag-pony-tail-makers-set-of-5-pcs-professional-braids-tools-hair-styling-kits-for-women-hair-accessories-set-women-girls-diy-hair-styling-set-kit-tools-accessories-pull-hair-needle-dish-hair-comb-tools-as-picture-i153930475-s1318844016.html?search=1,Braids Tools with Zig Zag Pony Tail Makers (Set Of 5 Pcs) Professional Braids Tools Hair Styling Kits For Women Hair Accessories Set Women Girls DIY Hair Styling Set Kit Tools Accessories Pull Hair Needle Dish hair Comb Tools As Picture,Rs. 155,(42), 4.8
https://www.daraz.pk/products/lorax-black-metal-zigzag-pack-of-3-hair-hoop-sports-fashion-flexible-head-band-for-men-womens-hair-accessories-i197092978-s1392958878.html?search=1,"Lorax Black Metal Zigzag Pack of 3 Hair Hoop Sports Fashion Flexible Head Band for Men, Women's Hair Accessories",Rs. 129,(60), 4.5
https://www.daraz.pk/products/pack-of-3-hair-bands-for-girls-black-metal-zigzag-head-band-for-girls-boys-fashion-hair-accessories-for-girls-women-hair-pin-clip-i103808324-s1303540105.html?search=1,Pack of 3 Black Metal Zigzag Hair band,Rs. 99,(179), 4.8
https://www.daraz.pk/products/magic-comb-clip-for-women-girls-beads-flower-barrette-hairpin-elastic-double-combs-clips-i132153083-s1292368602.html?search=1,Magic Comb Clip for Women Girls Beads Flower Barrette Hairpin Elastic Double Combs Clips,Rs. 165,(113), 4.8
https://www.daraz.pk/products/alice-hairband-men-women-girls-kids-unisex-universal-black-metal-sports-hairband-headband-wave-alice-style-hair-band-i202550262-s1401870627.html?search=1,alice hairband men women girls kids unisex universal   Black Metal Sports Hairband Headband Wave Alice Style Hair band,Rs. 42,(38), 4.3
https://www.daraz.pk/products/pearl-hair-band-i164988897-s1332746362.html?search=1,Pearl Hair Band,Rs. 350,(32), 4.9
https://www.daraz.pk/products/pack-of-4-fancy-durable-wooden-hair-jura-stick-hair-hodkin-kanzashi-binyeo-bun-stick-hair-stick-for-girls-women-and-ladies-i190430371-s1381344882.html?search=1,"(Pack of 4) Fancy Durable Wooden Hair Jura Stick Hair Hodkin Kanzashi Binyeo Bun Stick Hair Stick For Girls, Women and Ladies",Rs. 259,(18), 4.4
https://www.daraz.pk/products/bridal-hair-accessories-hair-accessories-for-women-hair-accessories-for-girls-for-wedding-hair-pins-pearl-i173914744-s1415864089.html?search=1,"Bridal Hair Accessories, Hair accessories for women, hair accessories for girls for wedding, hair pins pearl",Rs. 214,(33), 4.8
https://www.daraz.pk/products/pack-of-36-pieces-small-baby-hair-catcher-jaw-clip-for-girls-baby-girls-hair-catcher-small-plastic-hair-clumps-i189856675-s1414458447.html?search=1,PACK OF 36 PIECES SMALL BABY HAIR CATCHER / JAW CLIP FOR GIRLS  / BABY GIRLS HAIR CATCHER / SMALL PLASTIC HAIR CLUMPS,Rs. 256,(14), 4.5
https://www.daraz.pk/products/shirt-support-black-tuck-it-belt-shirt-tucked-mens-shirt-support-women-shirt-support-near-shirt-i130925015-s1290813500.html?search=1,Shirt Support Black Tuck It Belt Shirt Tucked Mens Shirt Support women shirt support near shirt,Rs. 130,(292), 4.2
https://www.daraz.pk/products/scrunchie-for-girls-hair-high-quality-silk-pack-of-3-i212348918-s1420220466.html?search=1,Scrunchie for girls hair High Quality Silk Pack of 3,Rs. 182,(193), 4.2
https://www.daraz.pk/products/black-braider-hair-style-twister-hair-band-headband-double-bangs-hairstyle-hairpin-with-clip-hair-styling-new-fashion-hairband-women-girls-i207488588-s1412336747.html?search=1,Black Braider Hair Style twister hair band headband Double Bangs Hairstyle Hairpin with clip hair styling new fashion Hairband Women girls,Rs. 95,(272), 4.6
https://www.daraz.pk/products/1-pcs-pearl-top-knot-turban-headband-elastic-hairband-pearl-hair-accessories-korean-solid-soft-velvet-knot-wide-hairband-for-women-pearls-knotted-handmade-girls-hair-accessories-i206188260-s1410650953.html?search=1,1 pcs Pearl Top Knot Turban Headband Elastic Hairband Pearl Hair Accessories Korean Solid Soft Velvet Knot Wide Hairband for Women Pearls Knotted Handmade Girls Hair Accessories,Rs. 195,(47), 4.2
https://www.daraz.pk/products/pack-of-2-2021-new-hair-accessories-for-women-girls-hair-bands-print-headbands-vintage-cross-turban-scarf-bandage-i193820714-s1387898153.html?search=1,Pack of 2 2021 NEW Hair Accessories for Women Girls Hair Bands Print Headbands Vintage Cross Turban Scarf Bandage,Rs. 197,(85), 4.6
https://www.daraz.pk/products/latest-wireless-gaming-bluetooth-headphones-with-mic-white-i214254537-s1423072790.html?search=1,Latest Wireless Gaming Bluetooth Headphones with Mic - White,Rs. 369,(98), 5.0
https://www.daraz.pk/products/top-quality-stylish-pearl-hair-bands-headband-for-girls-women-i202556079-s1424277461.html?search=1,Top Quality Stylish Pearl Hair Bands Headband For Girls & Women,Rs. 206,(52), 4.3
https://www.daraz.pk/products/magic-comb-clip-for-women-girls-hair-accessories-for-girls-magic-elastic-hair-comb-clips-fancy-magic-comb-double-hair-comb-magic-clips-i214368855-s1425917207.html?search=1,"Magic Comb Clip For Women, Girls | Hair Accessories For Girls | Magic Elastic Hair Comb Clips |  Fancy Magic Comb | Double Hair Comb Magic Clips",Rs. 161,(63), 4.8
https://www.daraz.pk/products/pearl-knot-headbands-for-girls-i217565889-s1427930677.html?search=1,Pearl Knot Headbands for Girls,Rs. 180,(11), 4.3
https://www.daraz.pk/products/turban-knotted-headband-for-girls-turban-headband-turban-hair-band-for-women-elastic-headband-i187144976-s1374826362.html?search=1,Turban Knotted Headband for Girls | Turban Headband - Turban Hair Band for Women Elastic Headband,Rs. 185,(153), 4.7
https://www.daraz.pk/products/6-pieces-large-plastic-hair-clips-catcher-i163154104-s1330390897.html?search=1,6 pieces large Plastic hair clips catcher,Rs. 110,(76), 4.9
https://www.daraz.pk/products/black-braider-hair-band-hair-accessories-hair-hoop-fashion-double-layer-band-twist-plait-clip-front-hair-clips-headband-i207486779-s1412338619.html?search=1,Black Braider Hair Band Hair Accessories Hair Hoop Fashion Double Layer Band Twist Plait Clip Front Hair Clips Headband,Rs. 95,(38), 4.5
https://www.daraz.pk/products/lorax-black-metal-zigzag-pack-of-3-hair-hoop-sports-fashion-flexible-head-band-for-men-womens-hair-accessories-i197092978-s1392958878.html?search=1,"Lorax Black Metal Zigzag Pack of 3 Hair Hoop Sports Fashion Flexible Head Band for Men, Women's Hair Accessories",Rs. 129,(60), 4.8
https://www.daraz.pk/products/pack-of-3-hair-bands-for-girls-black-metal-zigzag-head-band-for-girls-boys-fashion-hair-accessories-for-girls-women-hair-pin-clip-i103808324-s1303540105.html?search=1,Pack of 3 Black Metal Zigzag Hair band,Rs. 99,(179), 4.5
https://www.daraz.pk/products/magic-comb-clip-for-women-girls-beads-flower-barrette-hairpin-elastic-double-combs-clips-i132153083-s1292368602.html?search=1,Magic Comb Clip for Women Girls Beads Flower Barrette Hairpin Elastic Double Combs Clips,Rs. 165,(113), 4.6
https://www.daraz.pk/products/alice-hairband-men-women-girls-kids-unisex-universal-black-metal-sports-hairband-headband-wave-alice-style-hair-band-i202550262-s1401870627.html?search=1,alice hairband men women girls kids unisex universal   Black Metal Sports Hairband Headband Wave Alice Style Hair band,Rs. 42,(38), 5.0
https://www.daraz.pk/products/pearl-hair-band-i164988897-s1332746362.html?search=1,Pearl Hair Band,Rs. 350,(32), 5.0
https://www.daraz.pk/products/pack-of-4-fancy-durable-wooden-hair-jura-stick-hair-hodkin-kanzashi-binyeo-bun-stick-hair-stick-for-girls-women-and-ladies-i190430371-s1381344882.html?search=1,"(Pack of 4) Fancy Durable Wooden Hair Jura Stick Hair Hodkin Kanzashi Binyeo Bun Stick Hair Stick For Girls, Women and Ladies",Rs. 259,(18), 4.2
https://www.daraz.pk/products/bridal-hair-accessories-hair-accessories-for-women-hair-accessories-for-girls-for-wedding-hair-pins-pearl-i173914744-s1415864089.html?search=1,"Bridal Hair Accessories, Hair accessories for women, hair accessories for girls for wedding, hair pins pearl",Rs. 214,(33), 4.7
https://www.daraz.pk/products/pack-of-36-pieces-small-baby-hair-catcher-jaw-clip-for-girls-baby-girls-hair-catcher-small-plastic-hair-clumps-i189856675-s1414458447.html?search=1,PACK OF 36 PIECES SMALL BABY HAIR CATCHER / JAW CLIP FOR GIRLS  / BABY GIRLS HAIR CATCHER / SMALL PLASTIC HAIR CLUMPS,Rs. 256,(14), 4.9
https://www.daraz.pk/products/shirt-support-black-tuck-it-belt-shirt-tucked-mens-shirt-support-women-shirt-support-near-shirt-i130925015-s1290813500.html?search=1,Shirt Support Black Tuck It Belt Shirt Tucked Mens Shirt Support women shirt support near shirt,Rs. 130,(292), 4.4
https://www.daraz.pk/products/scrunchie-for-girls-hair-high-quality-silk-pack-of-3-i212348918-s1420220466.html?search=1,Scrunchie for girls hair High Quality Silk Pack of 3,Rs. 182,(193), 4.2
https://www.daraz.pk/products/black-braider-hair-style-twister-hair-band-headband-double-bangs-hairstyle-hairpin-with-clip-hair-styling-new-fashion-hairband-women-girls-i207488588-s1412336747.html?search=1,Black Braider Hair Style twister hair band headband Double Bangs Hairstyle Hairpin with clip hair styling new fashion Hairband Women girls,Rs. 95,(272), 4.4
https://www.daraz.pk/products/1-pcs-pearl-top-knot-turban-headband-elastic-hairband-pearl-hair-accessories-korean-solid-soft-velvet-knot-wide-hairband-for-women-pearls-knotted-handmade-girls-hair-accessories-i206188260-s1410650953.html?search=1,1 pcs Pearl Top Knot Turban Headband Elastic Hairband Pearl Hair Accessories Korean Solid Soft Velvet Knot Wide Hairband for Women Pearls Knotted Handmade Girls Hair Accessories,Rs. 195,(47), 4.3
https://www.daraz.pk/products/pack-of-2-2021-new-hair-accessories-for-women-girls-hair-bands-print-headbands-vintage-cross-turban-scarf-bandage-i193820714-s1387898153.html?search=1,Pack of 2 2021 NEW Hair Accessories for Women Girls Hair Bands Print Headbands Vintage Cross Turban Scarf Bandage,Rs. 197,(85), 4.7
https://www.daraz.pk/products/latest-wireless-gaming-bluetooth-headphones-with-mic-white-i214254537-s1423072790.html?search=1,Latest Wireless Gaming Bluetooth Headphones with Mic - White,Rs. 369,(98), 4.9
https://www.daraz.pk/products/top-quality-stylish-pearl-hair-bands-headband-for-girls-women-i202556079-s1424277461.html?search=1,Top Quality Stylish Pearl Hair Bands Headband For Girls & Women,Rs. 206,(52), 4.4
https://www.daraz.pk/products/magic-comb-clip-for-women-girls-hair-accessories-for-girls-magic-elastic-hair-comb-clips-fancy-magic-comb-double-hair-comb-magic-clips-i214368855-s1425917207.html?search=1,"Magic Comb Clip For Women, Girls | Hair Accessories For Girls | Magic Elastic Hair Comb Clips |  Fancy Magic Comb | Double Hair Comb Magic Clips",Rs. 161,(63), 4.9
https://www.daraz.pk/products/pearl-knot-headbands-for-girls-i217565889-s1427930677.html?search=1,Pearl Knot Headbands for Girls,Rs. 180,(11), 4.2
https://www.daraz.pk/products/turban-knotted-headband-for-girls-turban-headband-turban-hair-band-for-women-elastic-headband-i187144976-s1374826362.html?search=1,Turban Knotted Headband for Girls | Turban Headband - Turban Hair Band for Women Elastic Headband,Rs. 185,(153), 4.9
https://www.daraz.pk/products/6-pieces-large-plastic-hair-clips-catcher-i163154104-s1330390897.html?search=1,6 pieces large Plastic hair clips catcher,Rs. 110,(76), 4.6
https://www.daraz.pk/products/black-braider-hair-band-hair-accessories-hair-hoop-fashion-double-layer-band-twist-plait-clip-front-hair-clips-headband-i207486779-s1412338619.html?search=1,Black Braider Hair Band Hair Accessories Hair Hoop Fashion Double Layer Band Twist Plait Clip Front Hair Clips Headband,Rs. 95,(38), 4.6
https://www.daraz.pk/products/lorax-black-metal-zigzag-pack-of-3-hair-hoop-sports-fashion-flexible-head-band-for-men-womens-hair-accessories-i197092978-s1392958878.html?search=1,"Lorax Black Metal Zigzag Pack of 3 Hair Hoop Sports Fashion Flexible Head Band for Men, Women's Hair Accessories",Rs. 129,(60), 4.2
https://www.daraz.pk/products/pack-of-3-hair-bands-for-girls-black-metal-zigzag-head-band-for-girls-boys-fashion-hair-accessories-for-girls-women-hair-pin-clip-i103808324-s1303540105.html?search=1,Pack of 3 Black Metal Zigzag Hair band,Rs. 99,(179), 4.7
https://www.daraz.pk/products/magic-comb-clip-for-women-girls-beads-flower-barrette-hairpin-elastic-double-combs-clips-i132153083-s1292368602.html?search=1,Magic Comb Clip for Women Girls Beads Flower Barrette Hairpin Elastic Double Combs Clips,Rs. 165,(113), 4.5
https://www.daraz.pk/products/alice-hairband-men-women-girls-kids-unisex-universal-black-metal-sports-hairband-headband-wave-alice-style-hair-band-i202550262-s1401870627.html?search=1,alice hairband men women girls kids unisex universal   Black Metal Sports Hairband Headband Wave Alice Style Hair band,Rs. 42,(38), 4.4
https://www.daraz.pk/products/pearl-hair-band-i164988897-s1332746362.html?search=1,Pearl Hair Band,Rs. 350,(32), 4.3
https://www.daraz.pk/products/pack-of-4-fancy-durable-wooden-hair-jura-stick-hair-hodkin-kanzashi-binyeo-bun-stick-hair-stick-for-girls-women-and-ladies-i190430371-s1381344882.html?search=1,"(Pack of 4) Fancy Durable Wooden Hair Jura Stick Hair Hodkin Kanzashi Binyeo Bun Stick Hair Stick For Girls, Women and Ladies",Rs. 259,(18), 4.3
https://www.daraz.pk/products/bridal-hair-accessories-hair-accessories-for-women-hair-accessories-for-girls-for-wedding-hair-pins-pearl-i173914744-s1415864089.html?search=1,"Bridal Hair Accessories, Hair accessories for women, hair accessories for girls for wedding, hair pins pearl",Rs. 214,(33), 4.2
https://www.daraz.pk/products/pack-of-36-pieces-small-baby-hair-catcher-jaw-clip-for-girls-baby-girls-hair-catcher-small-plastic-hair-clumps-i189856675-s1414458447.html?search=1,PACK OF 36 PIECES SMALL BABY HAIR CATCHER / JAW CLIP FOR GIRLS  / BABY GIRLS HAIR CATCHER / SMALL PLASTIC HAIR CLUMPS,Rs. 256,(14), 4.5
https://www.daraz.pk/products/shirt-support-black-tuck-it-belt-shirt-tucked-mens-shirt-support-women-shirt-support-near-shirt-i130925015-s1290813500.html?search=1,Shirt Support Black Tuck It Belt Shirt Tucked Mens Shirt Support women shirt support near shirt,Rs. 130,(292), 4.8
https://www.daraz.pk/products/scrunchie-for-girls-hair-high-quality-silk-pack-of-3-i212348918-s1420220466.html?search=1,Scrunchie for girls hair High Quality Silk Pack of 3,Rs. 182,(193), 4.8
https://www.daraz.pk/products/black-braider-hair-style-twister-hair-band-headband-double-bangs-hairstyle-hairpin-with-clip-hair-styling-new-fashion-hairband-women-girls-i207488588-s1412336747.html?search=1,Black Braider Hair Style twister hair band headband Double Bangs Hairstyle Hairpin with clip hair styling new fashion Hairband Women girls,Rs. 95,(272), 4.4
https://www.daraz.pk/products/1-pcs-pearl-top-knot-turban-headband-elastic-hairband-pearl-hair-accessories-korean-solid-soft-velvet-knot-wide-hairband-for-women-pearls-knotted-handmade-girls-hair-accessories-i206188260-s1410650953.html?search=1,1 pcs Pearl Top Knot Turban Headband Elastic Hairband Pearl Hair Accessories Korean Solid Soft Velvet Knot Wide Hairband for Women Pearls Knotted Handmade Girls Hair Accessories,Rs. 195,(47), 4.6
https://www.daraz.pk/products/pack-of-2-2021-new-hair-accessories-for-women-girls-hair-bands-print-headbands-vintage-cross-turban-scarf-bandage-i193820714-s1387898153.html?search=1,Pack of 2 2021 NEW Hair Accessories for Women Girls Hair Bands Print Headbands Vintage Cross Turban Scarf Bandage,Rs. 197,(85), 4.8
https://www.daraz.pk/products/latest-wireless-gaming-bluetooth-headphones-with-mic-white-i214254537-s1423072790.html?search=1,Latest Wireless Gaming Bluetooth Headphones with Mic - White,Rs. 369,(98), 4.5
https://www.daraz.pk/products/top-quality-stylish-pearl-hair-bands-headband-for-girls-women-i202556079-s1424277461.html?search=1,Top Quality Stylish Pearl Hair Bands Headband For Girls & Women,Rs. 206,(52), 4.9
https://www.daraz.pk/products/magic-comb-clip-for-women-girls-hair-accessories-for-girls-magic-elastic-hair-comb-clips-fancy-magic-comb-double-hair-comb-magic-clips-i214368855-s1425917207.html?search=1,"Magic Comb Clip For Women, Girls | Hair Accessories For Girls | Magic Elastic Hair Comb Clips |  Fancy Magic Comb | Double Hair Comb Magic Clips",Rs. 161,(63), 4.2
https://www.daraz.pk/products/pearl-knot-headbands-for-girls-i217565889-s1427930677.html?search=1,Pearl Knot Headbands for Girls,Rs. 180,(11), 4.5
https://www.daraz.pk/products/turban-knotted-headband-for-girls-turban-headband-turban-hair-band-for-women-elastic-headband-i187144976-s1374826362.html?search=1,Turban Knotted Headband for Girls | Turban Headband - Turban Hair Band for Women Elastic Headband,Rs. 185,(153), 4.6
https://www.daraz.pk/products/6-pieces-large-plastic-hair-clips-catcher-i163154104-s1330390897.html?search=1,6 pieces large Plastic hair clips catcher,Rs. 110,(76), 4.6
https://www.daraz.pk/products/black-braider-hair-band-hair-accessories-hair-hoop-fashion-double-layer-band-twist-plait-clip-front-hair-clips-headband-i207486779-s1412338619.html?search=1,Black Braider Hair Band Hair Accessories Hair Hoop Fashion Double Layer Band Twist Plait Clip Front Hair Clips Headband,Rs. 95,(38), 4.3
